"","termID","termName","termDesc","unitName","dataType","relatedTerms"
"1",NA,"accuracy","How close a measured value is to the actual, true value","NA","real",NA
"2",NA,"acidTreatment","Indicator for whether a sample has been acidified to remove carbonate prior to analysis","NA","string",NA
"3",NA,"additionalCoordUncertainty","Additional uncertainty to be added to the coordinate uncertainty at all sites","meter","real",""
"4",NA,"aDiskHeight","The height, to the nearest 0.1 cm, of the log cross-sectional disk used for bulk density sampling; measurement location 1","centimeter","real",NA
"5",NA,"adjAdultCount","Count of adults of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"6",NA,"adjAlgal13C","Average delta 13C of replicate filters, if replicates were collected","perMill","real",NA
"7",NA,"adjAlgal15N","Average delta 15N of replicate filters, if replicates were collected","perMill","real",NA
"8",NA,"adjAlgal34S","Average delta 34S of replicate filters, if replicates were collected","perMill","real",NA
"9",NA,"adjAlgalC","Average total carbon of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"10",NA,"adjAlgalChlA","Average algal chlorophyll a of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"11",NA,"adjAlgalN","Average total nitrogen of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"12",NA,"adjAlgalP","Average total phosphorus of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"13",NA,"adjAlgalPheo","Average algal pheophytin of replicate filters, if replicates were collected, by volume","microgramsPerLiter","real",NA
"14",NA,"adjAqPlantC","Average percent carbon of plant replicates by mass","percent","real",NA
"15",NA,"adjAqPlantMassCRatio","Mass ratio of carbon adjusted for replicates","milligramsPerGram","real",NA
"16",NA,"adjAqPlantMassNRatio","Mass ratio of nitrogen adjusted for replicates","milligramsPerGram","real",NA
"17",NA,"adjAqPlantN","Average percent nitrogen of plant replicates by mass","percent","real",NA
"18",NA,"adjLarvaCount","Count of larvae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"19",NA,"adjPupaCount","Count of pupae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"20",NA,"adjTotalCount","Count of total individuals (larvae + pupae+ adults) of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent)","NA","real",NA
"21",NA,"adjVolumeCount","Count of individuals of the given taxon, multiplied to account for field and lab subsampling","numberPerLiter","real",NA
"22",NA,"adultCount","Number of adults","number","unsigned integer","NA"
"23",NA,"agricultureCover","Cover of agriculture","NA","string",NA
"24",NA,"aGroupHeight","Height of tallest 5 stems in group, a","meter","real",NA
"25",NA,"akLocalityStatusSource","The reference to the source describing whether the taxon is established in the state of Alaska, USA","NA","string",NA
"26",NA,"akNativeStatusCode","The process by which the taxon became established in the state of Alaska, USA","NA","string",NA
"27",NA,"akNativeStatusSource","The reference to the source describing the process by which the taxon became established in the state of Alaska, USA","NA","string",NA
"28",NA,"algaePresence","Presence of algae","NA","string",NA
"29",NA,"algalParameterValuePub","Value of the algalParameter that is published","NA","string","NA"
"30",NA,"altCoordinateUncertainty","The horizontal distance (in meters) from the given altLatitude and altLongitude describing the smallest circle containing the whole of the Location. Zero is not a valid value for this term","meter","real","NA"
"31",NA,"altGeodeticDatum","Model used to measure horizontal position on the earth for alternate location coordinate","NA","string","NA"
"32",NA,"ambiguousBasesNumber","Number of sequence reads in a quality filtered sample with more than 1 ambiguous base","number","unsigned integer",""
"33",NA,"amcSamplingProtocolVersion","The NEON document number and version of the aquatic microbes protocol where detailed information regarding the sampling method used is available; format NEON.DOC.######vX","NA","string","NA"
"34",NA,"ampliconConcentration","Concentration of amplicon DNA used for sequencing reaction","nanogramsPerMicroliter","real","NA"
"35",NA,"ampliconPooledStatus","Indicates whether multiple PCR reactions were pooled","NA","string","NA"
"36",NA,"amplificationProtocol","The method used to PCR amplify a sample","NA","string","NA"
"37",NA,"analysis","The analysis performed or conducted","NA","string",NA
"38",NA,"analysisType","Type of analysis at external lab","NA","string",NA
"39",NA,"analysisVolume","Volume in milliliters of sample analyzed","milliliter","real",NA
"40",NA,"analyteConcentration","Concentration of analyte","NA","real",NA
"41",NA,"analytesBelowPQL","List of analytes that are below the practical quantitation limit","NA","string","NA"
"42",NA,"analyticalRepNumber","Number of the analytical replicate","number","integer",NA
"43",NA,"analyzedByAnon","Anonymized name of lab personnel analyzing sample","NA","string",NA
"44",NA,"applicableModules","Pipe-delimited list of modules sampled at the plot: BET = beetles; BGC = biogeochemistry; BRD = birds; CWD = coarse woody debris; DHP = digital hemispherical photos for leaf area index; DIV = plant diversity; HBP = herbaceous productivity; LBS = camera-quadrat for leaf area index by species; LTR = litter and fine woody debris; MAM = mammal abundance and diversity; MFB = mat-forming bryophyte production; MOS = mosquitoes; MPT = mosquito pathogens; PHE = plant phenology; SME = soil microbes; SLS = soil sampling; TCK = ticks; VST = vegetation structure","NA","string",NA
"45",NA,"aquMicrobeScrubArea","Sampler area of epilithon or epixylon sample","squareMeter","real",""
"46",NA,"aquMicrobeType","Group of organisms in an aquatic microbes sample defined by habitat or location","NA","string",NA
"47",NA,"archaeaAlignmentMethod","Method used to align archaeal sequences","NA","string",""
"48",NA,"archaeaAnalysisProgram","Program or software used to analyze archaeal sequences for taxonomic identification","NA","string",""
"49",NA,"archaeaChimeraMethod","Method used to remove chimeras from archaeal sequences","NA","string",""
"50",NA,"archaeaClusterMethod","Method use to cluster archaeal sequences","NA","string",""
"51",NA,"archaeaClusterSimilarity","Similarity threshold for archaeal sequence clusters","percent","unsigned integer",""
"52",NA,"archaeaReferenceDatabase","Reference database used for archaeal taxonomic identification","NA","string",""
"53",NA,"archiveFate","Fate of the Archive sample","NA","string","NA"
"54",NA,"archiveFilteredSampleVolume","Volume of water filtered for microbial archive","milliliter","integer",NA
"55",NA,"archiveIDCode","Barcode of the Archive sample","NA","string","NA"
"56",NA,"archiveSampleCode","Barcode of archive sample","NA","string",NA
"57",NA,"archiveSampleFate","Fate of archived sample","NA","string",NA
"58",NA,"archiveVialID","Identifier for the vial containing specimens for archive","NA","string",NA
"59",NA,"arealAdjAdultCount","Count of adults of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"60",NA,"arealAdjAlgalC","Average total carbon of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"61",NA,"arealAdjAlgalChlA","Average algal chlorophyll a of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"62",NA,"arealAdjAlgalN","Average total nitrogen of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"63",NA,"arealAdjAlgalP","Average total phosphorus of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"64",NA,"arealAdjAlgalPheo","Average algal pheophytin of replicate filters, if replicates were collected, adjusted for benthic sampling area","microgramsPerSquareMeter","real",NA
"65",NA,"arealAdjLarvaCount","Count of larvae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"66",NA,"arealAdjPupaCount","Count of pupae of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"67",NA,"arealAdjTotalCount","Count of total individuals (larvae + pupae+ adults) of the given taxon in the given size class, multiplied to account for lab subsampling (subsamplePercent) and the benthic area sampled based on sampleType","NA","real",NA
"68",NA,"assemblyFlowRateQAQCRpt","Quality assurance and quality control report for the assembly flow rate test, which indicates whether the assembly flow rate is within threshold limits, detailed in NEON.DOC.011081 (1=fail, 0=pass, -1=NA (i.e., could not be run))","NA","real",NA
"69",NA,"associatedMedia","Filename of media that is a data product, or constitutes metadata for a data product","NA","string",NA
"70",NA,"aTestResult","Result of the test for presence of serum antibodies reactive against one or more pathogens as determined by initial evaluation of test result. 'Positive' for positive, 'Negative' for negative, 'Uncertain' for uncertain. Also includes the name of, and link to, the file containing the photograph of the associated test media and the identification number/label of the sample in the photo","NA","string",NA
"71",NA,"averageFilteredReadQuality","Average quality of sequence reads in a sample after quality filtering","NA","real",""
"72",NA,"averaging2QF","Quality flag indicating how the precipitation value was calculated from the three strain gauges if averaging QF = 7 (0 = average of all three strain gauges; 1, 2, and 4 = average of two of the three strain gauges; 3, 5, and 6 = only one strain gauge was used; 7 = no precipitation value was calculated for that time period), detailed in NEON.DOC.000654","NA","signed integer",NA
"73",NA,"averagingQF","Quality flag indicating how the precipitation value was calculated from the three strain gauges (0 = average of all three strain gauges; 1, 2, and 4 = average of two of the three strain gauges; 3, 5, and 6 = only one strain gauge was used; 7 = average is determined according to averaging2QF), detailed in NEON.DOC.000654","NA","signed integer",NA
"74",NA,"avgWt1DryBag","Average weight of five dry bags in grams to 0.01","gram","real",NA
"75",NA,"avLeafLength","Average length of an adult leaf, used to estimate plant biomass","centimeter","real",NA
"76",NA,"bacteriaAlignmentMethod","Method used to align bacterial sequences","NA","string",""
"77",NA,"bacteriaAnalysisProgram","Program or software used to analyze bacterial sequences for taxonomic identification","NA","string",""
"78",NA,"bacteriaChimeraMethod","Method used to remove chimeras from bacterial sequences","NA","string",""
"79",NA,"bacteriaClusterMethod","Method use to cluster bacterial sequences","NA","string",""
"80",NA,"bacteriaClusterSimilarity","Similarity threshold for bacterial sequence clusters","percent","unsigned integer",""
"81",NA,"bacteriaReferenceDatabase","Reference database used for bacterial taxonomic identification","NA","string",""
"82",NA,"bagNumber","unique value for tracking a field collected sample","NA","string",NA
"83",NA,"barcodeSequence","DNA sequence of barcode primer used in a multiplexed DNA sequencing run","NA","string","NA"
"84",NA,"bareDirtCover","Cover of bare dirt","NA","string",NA
"85",NA,"basalStemDiameter","Cross-sectional stem diameter at base of stem","centimeter","real",NA
