uid,startDate,endDate,eventID,plotID,subplotID,nestedSubplotID,tagID,individualID,individualBarcode,individualFate,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,vdApexHeight,vdBaseHeight,vdApexBreakHeight,vdBaseBreakHeight,height,breakHeight,baseCrownHeight,maxCrownDiameter,ninetyCrownDiameter,breakDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,remarks,recordedBy,measuredBy,dataQF,siteID,ID,dupCheck,errorField,sitID,domainID
,2015-07-29,2015-07-29,vst_TREE_2015,TREE_056.basePlot.vst,21,,1,NEON.PLA.D05.TREE.00001,,released,,single bole tree,Live,10.3,130,6.3,0,,,6.3,,,,,,Mostly shaded,,,,,,,shoffman@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29644,NEON.PLA.D05.TREE.00001*2015-07-29,,TREE,D05
,2015-07-29,2015-07-29,vst_TREE_2015,TREE_055.basePlot.vst,39,4,10,NEON.PLA.D05.TREE.00010,,released,,small tree,Live,4.1,130,5.6,0,,,5.6,,,,,,Mostly shaded,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29645,NEON.PLA.D05.TREE.00010*2015-07-29,,TREE,D05
,2015-07-29,2015-07-29,vst_TREE_2015,TREE_050.basePlot.vst,41,1,100,NEON.PLA.D05.TREE.00100,,released,,small tree,Live,7.3,130,2.8,0,,,2.8,,,,,,Full shade,,,,,,,bgorzek@field-ops.org,eleonard@field-ops.org,legacyData,TREE,29646,NEON.PLA.D05.TREE.00100*2015-07-29,,TREE,D05
,2015-08-11,2015-08-11,vst_TREE_2015,TREE_045.basePlot.vst,23,2,1000,NEON.PLA.D05.TREE.01000,,released,,small tree,"Live, disease damaged",2.2,130,4.4,0,,,4.4,,,,,,Full shade,,,,,,,bgorzek@field-ops.org,shoffman@field-ops.org,legacyData,TREE,29647,NEON.PLA.D05.TREE.01000*2015-08-11,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_044.basePlot.vst,41,,1001,NEON.PLA.D05.TREE.01001,,released,,single bole tree,Live,17.5,130,6.7,0,,,6.7,,,,,,Full sun,,,,,,,frosenbower@field-ops.org,eleonard@field-ops.org,legacyData,TREE,29648,NEON.PLA.D05.TREE.01001*2015-08-05,,TREE,D05
,2015-08-06,2015-08-06,vst_TREE_2015,TREE_047.basePlot.vst,39,,1002,NEON.PLA.D05.TREE.01002,,released,,single bole tree,Live,33.6,130,6.3,0,,,6.3,,,,,,Partially shaded,,,,,,,eleonard@field-ops.org,shoffman@field-ops.org,legacyData,TREE,29650,NEON.PLA.D05.TREE.01002*2015-08-06,,TREE,D05
,2015-08-06,2015-08-06,vst_TREE_2015,TREE_047.basePlot.vst,39,4,1003,NEON.PLA.D05.TREE.01003,,released,,small tree,Live,8.4,130,6.1,0,,,6.1,,,,,,Mostly shaded,,,,,,,eleonard@field-ops.org,shoffman@field-ops.org,legacyData,TREE,29652,NEON.PLA.D05.TREE.01003*2015-08-06,,TREE,D05
,2015-08-11,2015-08-11,vst_TREE_2015,TREE_039.basePlot.vst,41,4,1004,NEON.PLA.D05.TREE.01004,,released,,small tree,Live,3.6,130,3.8,0,,,3.8,,,,,,Partially shaded,,,,,,,FROSENBOWER@FIELD-OPS.ORG,ELEONARD@FIELD-OPS.ORG,legacyData,TREE,29656,NEON.PLA.D05.TREE.01004*2015-08-11,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_044.basePlot.vst,41,4,1005,NEON.PLA.D05.TREE.01005,,released,,small tree,Standing dead,1.4,130,3,0,,,3,,,,,,Mostly shaded,,,,,,,frosenbower@field-ops.org,eleonard@field-ops.org,legacyData,TREE,29662,NEON.PLA.D05.TREE.01005*2015-08-05,,TREE,D05
,2015-08-11,2015-08-11,vst_TREE_2015,TREE_039.basePlot.vst,41,4,1006,NEON.PLA.D05.TREE.01006,,released,,sapling,Live,1.7,10,1.5,0,,,1.5,,,,,,Full shade,,,,,,,FROSENBOWER@FIELD-OPS.ORG,ELEONARD@FIELD-OPS.ORG,legacyData,TREE,29663,NEON.PLA.D05.TREE.01006*2015-08-11,,TREE,D05
,2015-08-11,2015-08-11,vst_TREE_2015,TREE_039.basePlot.vst,41,4,1007,NEON.PLA.D05.TREE.01007,,released,,small tree,Live,3.3,130,3.3,0,,,3.3,,,,,,Mostly shaded,,,,,,,FROSENBOWER@FIELD-OPS.ORG,ELEONARD@FIELD-OPS.ORG,legacyData,TREE,29665,NEON.PLA.D05.TREE.01007*2015-08-11,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_048.basePlot.vst,41,4,1008,NEON.PLA.D05.TREE.01008,,released,,sapling,Live,1.5,10,1.5,0,,,1.5,,,,,,Full shade,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29668,NEON.PLA.D05.TREE.01008*2015-08-05,,TREE,D05
,2015-08-04,2015-08-04,vst_TREE_2015,TREE_057.basePlot.vst,23,2,1009,NEON.PLA.D05.TREE.01009,,released,,small tree,"Live, disease damaged",2.5,130,4.8,0,,,4.8,,,,,,Full shade,,,,,,,bgorzek@field-ops.org,eleonard@field-ops.org,legacyData,TREE,29670,NEON.PLA.D05.TREE.01009*2015-08-04,,TREE,D05
,2015-07-30,2015-07-30,vst_TREE_2015,TREE_054.basePlot.vst,21,,101,NEON.PLA.D05.TREE.00101,,released,,single bole tree,Live,19.3,120,13.5,0,,,13.5,,,,,,Full sun,,,,,,no transcription errors,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29671,NEON.PLA.D05.TREE.00101*2015-07-30,,TREE,D05
,2015-07-30,2015-07-30,vst_TREE_2015,TREE_054.basePlot.vst,21,,101,NEON.PLA.D05.TREE.00101,,released,,single bole tree,Live,19.3,120,13.5,0,,,13.5,,,,,,Full sun,,,,,,no transcription errors,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29672,NEON.PLA.D05.TREE.00101*2015-07-30,,TREE,D05
,2015-07-29,2015-07-29,vst_TREE_2015,TREE_055.basePlot.vst,41,,101,NEON.PLA.D05.TREE.00101,,released,,single bole tree,Live,10.8,130,7.7,0,,,7.7,,,,,,Mostly shaded,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29673,NEON.PLA.D05.TREE.00101*2015-07-29,,TREE,D05
,2015-07-29,2015-07-29,vst_TREE_2015,TREE_055.basePlot.vst,41,,101,NEON.PLA.D05.TREE.00101,,released,,single bole tree,Live,10.8,130,7.7,0,,,7.7,,,,,,Mostly shaded,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29674,NEON.PLA.D05.TREE.00101*2015-07-29,,TREE,D05
,2015-08-04,2015-08-04,vst_TREE_2015,TREE_057.basePlot.vst,23,2,1010,NEON.PLA.D05.TREE.01010,,released,,sapling,Live,1.4,10,1.2,0,,,1.2,,,,,,Full shade,,,,,,,bgorzek@field-ops.org,eleonard@field-ops.org,legacyData,TREE,29676,NEON.PLA.D05.TREE.01010*2015-08-04,,TREE,D05
,2015-08-11,2015-08-11,vst_TREE_2015,TREE_045.basePlot.vst,39,,1012,NEON.PLA.D05.TREE.01012,,released,,single bole tree,Live,26.8,130,18,0,,,18,,,,,,Full sun,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29678,NEON.PLA.D05.TREE.01012*2015-08-11,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_048.basePlot.vst,41,,1013,NEON.PLA.D05.TREE.01013,,released,,single bole tree,Live,15.1,130,11.2,0,,,11.2,,,,,,Full sun,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29680,NEON.PLA.D05.TREE.01013*2015-08-05,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_048.basePlot.vst,39,,1014,NEON.PLA.D05.TREE.01014,,released,,single bole tree,Live,13.7,130,9.9,0,,,9.9,,,,,,Full sun,,,,,,no transcription errors,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29685,NEON.PLA.D05.TREE.01014*2015-08-05,,TREE,D05
,2015-08-04,2015-08-04,vst_TREE_2015,TREE_057.basePlot.vst,23,2,1015,NEON.PLA.D05.TREE.01015,,released,,sapling,Live,1.4,10,0.6,0,,,0.6,,,,,,Full shade,,,,,,,bgorzek@field-ops.org,eleonard@field-ops.org,legacyData,TREE,29690,NEON.PLA.D05.TREE.01015*2015-08-04,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_048.basePlot.vst,41,1,1016,NEON.PLA.D05.TREE.01016,,released,,single shrub,Live,3.4,130,2.5,0,,,2.5,,,2.4,1.5,,Full shade,half-sphere,,,,,no transcription errors,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29692,NEON.PLA.D05.TREE.01016*2015-08-05,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_048.basePlot.vst,41,1,1016,NEON.PLA.D05.TREE.01016,,released,,single shrub,Live,1.9,130,,,,,,,,,,,,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29694,NEON.PLA.D05.TREE.01016*2015-08-05,,TREE,D05
,2015-08-11,2015-08-11,vst_TREE_2015,TREE_039.basePlot.vst,41,4,1017,NEON.PLA.D05.TREE.01017,,released,,small tree,Standing dead,1.6,130,2.3,0,,,2.3,,,,,,Mostly shaded,,,,,,,FROSENBOWER@FIELD-OPS.ORG,ELEONARD@FIELD-OPS.ORG,legacyData,TREE,29695,NEON.PLA.D05.TREE.01017*2015-08-11,,TREE,D05
,2015-08-06,2015-08-06,vst_TREE_2015,TREE_047.basePlot.vst,39,,1019,NEON.PLA.D05.TREE.01019,,released,,single bole tree,"Live, disease damaged",23.1,130,17.5,0,,,17.5,,,,,,Full sun,,,,,,,eleonard@field-ops.org,shoffman@field-ops.org,legacyData,TREE,29698,NEON.PLA.D05.TREE.01019*2015-08-06,,TREE,D05
,2015-07-30,2015-07-30,vst_TREE_2015,TREE_054.basePlot.vst,21,4,102,NEON.PLA.D05.TREE.00102,,released,,sapling,Live,1.5,10,1.3,0,,,1.3,,,,,,Full shade,,,,,,,shoffman@field-ops.org,bgorzek@field-ops.org,legacyData,TREE,29700,NEON.PLA.D05.TREE.00102*2015-07-30,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_048.basePlot.vst,41,1,1020,NEON.PLA.D05.TREE.01020,,released,,small tree,"Live, insect damaged",1.9,130,4,0,,,4,,,,,,Full shade,,,,,,,eleonard@field-ops.org,frosenbower@field-ops.org,legacyData,TREE,29701,NEON.PLA.D05.TREE.01020*2015-08-05,,TREE,D05
,2015-08-05,2015-08-05,vst_TREE_2015,TREE_043.basePlot.vst,39,3,1021,NEON.PLA.D05.TREE.01021,,released,,sapling,"Live, physically damaged",1.6,10,1.2,0,,,1.2,,,,,,Full shade,,,,,,no transcriptoin errors,frosenbower@field-ops.org,eleonard@field-ops.org,legacyData,TREE,29704,NEON.PLA.D05.TREE.01021*2015-08-05,,TREE,D05
