startdate,eventid,domainid,siteid,plotid,subplotid,nestedsubplotid,tagid,individualid,vstid,pointid,stemdistance,stemazimuth,supportingstemtagid,previouslytaggedas,taxonid,identificationqualifier,remarks,measuredby,recordedby
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,40,,00001,NEON.PLA.D03.JERC.00001,,41,6.8,304,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,40,,00003,NEON.PLA.D03.JERC.00003,,,,,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,,00004,NEON.PLA.D03.JERC.00004,,,,,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,31,,00005,NEON.PLA.D03.JERC.00005,,41,6.1,190,,,PIPA2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,31,1,00009,NEON.PLA.D03.JERC.00009,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,31,1,00013,NEON.PLA.D03.JERC.00013,,,,,,,CRFL2,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,32,2,00019,NEON.PLA.D03.JERC.00019,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,32,2,00022,NEON.PLA.D03.JERC.00022,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,32,2,00024,NEON.PLA.D03.JERC.00024,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,40,1,00033,NEON.PLA.D03.JERC.00033,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,40,1,00034,NEON.PLA.D03.JERC.00034,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-10-28,vst_JERC_2014,D03,JERC,JERC_005,41,1,00036,NEON.PLA.D03.JERC.00036,,,,,,,QUMA6,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00038,NEON.PLA.D03.JERC.00038,,,,,,,RHCO17,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00039,NEON.PLA.D03.JERC.00039,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00040,NEON.PLA.D03.JERC.00040,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00041,NEON.PLA.D03.JERC.00041,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00042,NEON.PLA.D03.JERC.00042,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00044,NEON.PLA.D03.JERC.00044,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,4,00045,NEON.PLA.D03.JERC.00045,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00046,NEON.PLA.D03.JERC.00046,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,4,00049,NEON.PLA.D03.JERC.00049,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_005,41,1,00050,NEON.PLA.D03.JERC.00050,,,,,,,QUIN,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-12,vst_JERC_2014,D03,JERC,JERC_008,32,,00053,NEON.PLA.D03.JERC.00053,,,,,,,QUST,,,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00056,NEON.PLA.D03.JERC.00056,,41,6.8,248.2,,,PIPA2,,Azimuth recorded in Point ID; no transcription errors found; ask for point ID data sheet doesn't have one so put 41,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00057,NEON.PLA.D03.JERC.00057,,41,4.8,188.4,,,PIPA2,,Azimuth recorded in Point ID;ask for point ID data sheet doesn't have one so put 41,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00058,NEON.PLA.D03.JERC.00058,,41,8.4,82.5,,,PIPA2,,Azimuth recorded in Point ID;no pointID on the data sheet chose 41,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00060,NEON.PLA.D03.JERC.00060,,,,,,,DIVI5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00061,NEON.PLA.D03.JERC.00061,,,,,,,SAAL5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00063,NEON.PLA.D03.JERC.00063,,,,,,,SAAL5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00064,NEON.PLA.D03.JERC.00064,,,,,,,SAAL5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00065,NEON.PLA.D03.JERC.00065,,,,,,,RHCO17,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00067,NEON.PLA.D03.JERC.00067,,,,,,,SAAL5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00068,NEON.PLA.D03.JERC.00068,,,,,,,SAAL5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00069,NEON.PLA.D03.JERC.00069,,,,,,,DIVI5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00070,NEON.PLA.D03.JERC.00070,,,,,,,DIVI5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00071,NEON.PLA.D03.JERC.00071,,,,,,,SAAL5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,31,,00072,NEON.PLA.D03.JERC.00072,,,,,,,DIVI5,,Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,32,,00076,NEON.PLA.D03.JERC.00076,,,,,,,QUIN,,Listed on data sheet as subplot ID 33 corrected on data sheet; Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,40,,00079,NEON.PLA.D03.JERC.00079,,,,,,,SAAL5,,no transcription errors found; Listed on data sheet as subplot ID 33 corrected on data sheet; Dead Rx Fire,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,40,,00080,NEON.PLA.D03.JERC.00080,,,,,,,PIPA2,,Listed on data sheet as subplot ID 49 corrected on data sheet/,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,40,,00081,NEON.PLA.D03.JERC.00081,,,,,,,PIPA2,,Listed on data sheet as subplot ID 49 corrected on data sheet,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,40,,00082,NEON.PLA.D03.JERC.00082,,,,,,,DIVI5,,Listed on data sheet as subplot ID 49 corrected on data sheet,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,40,,00086,NEON.PLA.D03.JERC.00086,,,,,,,DIVI5,,Listed on data sheet as subplot ID 49 corrected on data sheet,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,40,,00087,NEON.PLA.D03.JERC.00087,,,,,,,DIVI5,,Listed on data sheet as subplot ID 49 corrected on data sheet,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,41,,00090,NEON.PLA.D03.JERC.00090,,41,6.8,20.8,,,PIPA2,,no transcription errors found; Listed on data sheet as subplot ID 51 corrected on data sheet; pointID number not on datasheet used number 41,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,41,,00091,NEON.PLA.D03.JERC.00091,,41,8,19.5,,,PIPA2,,Listed on data sheet as subplot ID 51 corrected on data sheet.  pointID number not on data sheet used number 41,jkilmer@field-ops.org,tantony@field-ops.org
2014-08-06,vst_JERC_2014,D03,JERC,JERC_002,41,,00092,NEON.PLA.D03.JERC.00092,,41,7.4,60.1,,,PIPA2,,Listed on data sheet as subplot ID 51 corrected on data sheet; pointID number not on data sheet used 41,jkilmer@field-ops.org,tantony@field-ops.org
