siteID,plotID,date,subplotID,nestedSubplotID,tagID,stemDiameter,measurementHeight,basalDiameter,basalDiameterHeight,growthForm,stemStatus,VD1height,VD2height,maxCanopyDiameter,ninetyCanopyDiameter,canopyPosition,shrubShape,maxBaseCanopyDiameter,ninetyBaseCanopyDiameter,measuredBy,recordedBy,remarks
JERC,JERC_047,20150819,21,1,2584,1.6,10,,,sap,1,0.3,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,no transcription error
JERC,JERC_047,20150819,21,1,2585,1.6,10,,,sap,2,1.5,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,tag removed
JERC,JERC_047,20150819,21,1,2586,1.1,10,,,sap,2,1.5,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,tag removed
JERC,JERC_047,20150819,21,1,2587,1.2,10,,,sap,6,1.5,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,
JERC,JERC_047,20150819,21,1,2588,2.2,130,,,sap,5,1.2,1.4,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,
JERC,JERC_047,20150819,21,1,2590,1.1,10,,,sap,2,1.6,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,tag removed
JERC,JERC_047,20150819,21,1,2591,1.2,10,,,sap,6,1.1,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,
JERC,JERC_047,20150819,21,1,2593,1.1,10,,,sap,1,1,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,no transcription error
JERC,JERC_047,20150819,21,4,2583,1,10,,,sap,2,1.3,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,tag removed; transcription error: nested subplot id omitted
JERC,JERC_047,20150819,21,,2664,1.7,130,,,lia,1,0,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,transcription error: nested subplot ID entered when none existed
JERC,JERC_047,20150819,21,,2665,1.8,130,,,lia,1,0,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,transcription error: growth form is lia not smt
JERC,JERC_047,20150819,21,,2666,2,130,,,lia,1,0,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,transcription error: growth form is lia not smt
JERC,JERC_047,20150819,21,,2667,1,130,,,lia,1,0,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,transcription error: growth form is lia not smt
JERC,JERC_047,20150819,21,,2669,2.1,130,,,lia,1,0,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,transcription error: growth form is lia not smt
JERC,JERC_047,20150819,21,,2673,1.7,90,,,lia,1,0,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,transcription error: growth form is lia not smt
JERC,JERC_047,20150819,21,,2674,1,130,,,lia,1,0,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@field-ops.org,transcription error: growth form is lia not smt
JERC,JERC_048,20150917,21,,3439,27.3,130,,,sbt,1,18.2,1,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,,3440,36.9,130,,,sbt,1,18.1,1,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,,3441,11.9,130,,,sbt,2,1.6,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,,3442,55.1,130,,,sbt,1,20.2,0.3,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,1,5381,1.1,10,,,sap,1,1,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,1,5380,1.1,10,,,sap,1,0.9,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,1,5379,1.5,10,,,sap,1,1.5,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,1,5378,1.4,10,,,sap,1,1,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
JERC,JERC_048,20150917,21,1,5377,2,10,,,sap,4,1.3,0,0,0,,,,,jkilmer@field-ops.org,mkerstein@neoninc.org,no transcription errors
