"uid","startDate","endDate","eventID","plotID","subplotID","nestedSubplotID","tagID","individualID","individualBarcode","individualFate","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","vdApexHeight","vdBaseHeight","vdApexBreakHeight","vdBaseBreakHeight","height","breakHeight","baseCrownHeight","maxCrownDiameter","ninetyCrownDiameter","breakDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks","recordedBy","measuredBy","dataQF","siteID","ID","dupCheck","errorField","sitID","domainID"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,2,"03334A","NEON.PLA.D01.BART.03334A",,"released",,,"Standing dead",23.4,130,2,-1,,,3,,,22,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",483,"NEON.PLA.D01.BART.03334A*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,4,"03331A","NEON.PLA.D01.BART.03331A",,"released",,,"Standing dead",13.7,130,2,0,,,2,,,13,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",494,"NEON.PLA.D01.BART.03331A*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,4,"03331B","NEON.PLA.D01.BART.03331B",,"released",,,"Live",23.8,130,18.5,-1.5,,,20,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",495,"NEON.PLA.D01.BART.03331B*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,,"03340A","NEON.PLA.D01.BART.03340A",,"released",,,"Live",11.3,130,13.5,0,,,13.5,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",506,"NEON.PLA.D01.BART.03340A*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,,"03340B","NEON.PLA.D01.BART.03340B",,"released",,,"Live",11.1,130,11,-1.7,,,12.7,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",507,"NEON.PLA.D01.BART.03340B*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,,"03340C","NEON.PLA.D01.BART.03340C",,"released",,,"Live",10.5,130,13.5,0,,,13.5,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",508,"NEON.PLA.D01.BART.03340C*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,,"03505A","NEON.PLA.D01.BART.03505A",,"released",,,"Live, disease damaged",22.8,130,13.6,-1.3,,,14.9,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",512,"NEON.PLA.D01.BART.03505A*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,,"03505B","NEON.PLA.D01.BART.03505B",,"released",,,"Live, disease damaged",12.3,130,6.7,-1.2,,,7.9,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",513,"NEON.PLA.D01.BART.03505B*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,,"03505C","NEON.PLA.D01.BART.03505C",,"released",,,"Live, disease damaged",23.4,130,13.6,-1.3,,,14.9,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",514,"NEON.PLA.D01.BART.03505C*2015-09-04",,"BART","D01"
,"2015-09-04","2015-09-04","vst_BART_2015","BART_032.basePlot.vst",23,,"03505D","NEON.PLA.D01.BART.03505D",,"released",,,"Live, disease damaged",18.8,130,13.6,-1.3,,,14.9,,,,,,,,,,,,,"ehardiman@field-ops.org","dcrandall@neoninc.org","legacyData","BART",515,"NEON.PLA.D01.BART.03505D*2015-09-04",,"BART","D01"
