"plotID","pointID","plotType","subtype","decimalLatitude","decimalLongitude","geodeticDatum","utmZone","easting","northing","coordinateUncertainty","coordinateSource","elevation","elevationUncertainty","nlcdClass","monumentType","applicableModules","siteID"
"DELA_037","61","tower","basePlot",32.539811,-87.801754,"WGS84","16N",424716.06,3600555.539,0.1,"GeoXH 6000",24.3,0.11,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","25","tower","basePlot",32.542105,-87.806597,"WGS84","16N",424263.178,3600813.251,0.1,"GeoXH 6000",22.89,0.12,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","39","tower","basePlot",32.542294,-87.80704,"WGS84","16N",424221.739,3600834.57,0.1,"GeoXH 6000",22.91,0.12,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","43","tower","basePlot",32.542288,-87.806593,"WGS84","16N",424263.723,3600833.551,0.1,"GeoXH 6000",23.08,0.11,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_037","49","tower","basePlot",32.539722,-87.802077,"WGS84","16N",424685.688,3600545.915,0.11,"GeoXH 6000",24.09,0.11,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_037","51","tower","basePlot",32.53972,-87.801863,"WGS84","16N",424705.762,3600545.517,0.11,"GeoXH 6000",24.49,0.13,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_055","57","tower","basePlot",32.541957,-87.807968,"WGS84","16N",424134.312,3600797.859,0.11,"GeoXH 6000",22.64,0.13,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_055","39","tower","basePlot",32.541771,-87.807973,"WGS84","16N",424133.741,3600777.214,0.11,"GeoXH 6000",23.62,0.13,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_049","39","tower","basePlot",32.542075,-87.802522,"WGS84","16N",424645.8,3600807.076,0.11,"GeoXH 6000",24.03,0.13,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_052","61","tower","basePlot",32.539781,-87.80785,"WGS84","16N",424143.602,3600556.594,0.11,"GeoXH 6000",24.18,0.13,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_052","43","tower","basePlot",32.539599,-87.80785,"WGS84","16N",424143.463,3600536.361,0.11,"GeoXH 6000",24.05,0.12,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_043","23","tower","basePlot",32.539415,-87.806789,"WGS84","16N",424242.903,3600515.192,0.11,"GeoXH 6000",23.7,0.13,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_044","23","tower","basePlot",32.540502,-87.806172,"WGS84","16N",424301.741,3600635.248,0.11,"GeoXH 6000",24.08,0.14,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_044","39","tower","basePlot",32.540687,-87.806382,"WGS84","16N",424282.195,3600655.896,0.11,"GeoXH 6000",24.61,0.15,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_037","59","tower","basePlot",32.539811,-87.801969,"WGS84","16N",424695.82,3600555.71,0.12,"GeoXH 6000",24.4,0.16,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","41","tower","basePlot",32.542291,-87.806805,"WGS84","16N",424243.85,3600834.083,0.12,"GeoXH 6000",25.57,0.14,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","61","tower","basePlot",32.542469,-87.806592,"WGS84","16N",424264.017,3600853.641,0.12,"GeoXH 6000",22.97,0.13,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","31","tower","basePlot",32.542199,-87.80692,"WGS84","16N",424232.962,3600823.895,0.12,"GeoXH 6000",22.71,0.13,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_038","51","tower","basePlot",32.542376,-87.806703,"WGS84","16N",424253.454,3600843.423,0.12,"GeoXH 6000",22.97,0.13,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_054","25","tower","basePlot",32.541071,-87.803042,"WGS84","16N",424596.192,3600696.166,0.12,"GeoXH 6000",26.73,0.15,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_055","23","tower","basePlot",32.541583,-87.807757,"WGS84","16N",424153.808,3600756.311,0.12,"GeoXH 6000",24.11,0.19,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_048","39","tower","basePlot",32.540212,-87.799324,"WGS84","16N",424944.563,3600598.278,0.12,"GeoXH 6000",24.81,0.15,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_050","61","tower","basePlot",32.540082,-87.80496,"WGS84","16N",424415.229,3600587.898,0.12,"GeoXH 6000",24.82,0.15,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_041","43","tower","basePlot",32.5407,-87.807526,"WGS84","16N",424174.813,3600658.173,0.12,"GeoXH 6000",23.59,0.17,"deciduousForest",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_052","57","tower","basePlot",32.539784,-87.808277,"WGS84","16N",424103.465,3600557.204,0.12,"GeoXH 6000",23.36,0.16,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_052","23","tower","basePlot",32.53942,-87.808066,"WGS84","16N",424123.043,3600516.737,0.12,"GeoXH 6000",24.13,0.15,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_052","39","tower","basePlot",32.539605,-87.808279,"WGS84","16N",424103.206,3600537.367,0.12,"GeoXH 6000",24.58,0.19,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_037","25","tower","basePlot",32.53945,-87.801756,"WGS84","16N",424715.587,3600515.584,0.13,"GeoXH 6000",24.05,0.15,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_037","39","tower","basePlot",32.539633,-87.802182,"WGS84","16N",424675.689,3600536.098,0.13,"GeoXH 6000",24.56,0.15,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_037","31","tower","basePlot",32.539543,-87.802076,"WGS84","16N",424685.587,3600526.065,0.13,"GeoXH 6000",23.94,0.16,"woodyWetlands",NA,"bbc|bgc|cfc|cdw|dhp|hbp|ltr|mfb|sme|vst","DELA"
"DELA_054","61","tower","basePlot",32.541435,-87.803037,"WGS84","16N",424596.926,3600736.536,0.13,"GeoXH 6000",23.62,0.18,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_055","59","tower","basePlot",32.541945,-87.807755,"WGS84","16N",424154.382,3600796.427,0.13,"GeoXH 6000",23.75,0.14,"deciduousForest",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","57","tower","basePlot",32.541175,-87.802195,"WGS84","16N",424675.767,3600707.113,0.13,"GeoXH 6000",25.93,0.2,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
"DELA_056","59","tower","basePlot",32.541172,-87.801981,"WGS84","16N",424695.901,3600706.644,0.13,"GeoXH 6000",26.36,0.16,"woodyWetlands",NA,"bbc|cdw|dhp|hbp|ltr|mfb|vst","DELA"
