,plot,mean.height_mean,mode.el_mean,height.2_mean,max.el_mean,mode.2_mean,max.can.ht_mean,mean.max.ht_mean,mean.vai_mean,max.vai_mean,deep.gaps_mean,porosity_mean,std.std_mean,mean.std_mean,rugosity_mean,top.rugosity_mean,plot_1_mean,mean.return.ht_mean,sd.return.ht_mean,sky.fraction_mean,cover.fraction_mean,max.ht_mean,rumple_mean,clumping.index_mean,mean.height_sd,mode.el_sd,height.2_sd,max.el_sd,mode.2_sd,max.can.ht_sd,mean.max.ht_sd,mean.vai_sd,max.vai_sd,deep.gaps_sd,porosity_sd,std.std_sd,mean.std_sd,rugosity_sd,top.rugosity_sd,plot_1_sd,mean.return.ht_sd,sd.return.ht_sd,sky.fraction_sd,cover.fraction_sd,max.ht_sd,rumple_sd,clumping.index_sd
1,AFA4,9.053139872,8.175,5.85435277,19,6.188244905,20.079,13.369275,3.345926515,8.201680672,5,0.754761905,232.9564501,9.018843591,12.31328187,6.789967637,NA,8.283381316,5.597503277,40.11384062,59.88615938,20.079,3.425,0.95086112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,AFD9,5.528268699,4.35,1.869027123,9,1.956399755,22.094,11.917075,6.498117501,8.026229508,0,0.669565217,43.40364041,4.63834231,4.678613151,5.146451789,NA,5.001622078,2.867168365,8.557476785,91.44252321,22.094,5.075,0.818587053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,AFG8,5.449405939,4.1,1.665968231,10,1.827566688,20.423,12.0308,6.319863863,8.023880597,0,0.625,47.34561432,5.526740169,4.098872702,3.943064812,NA,4.757596271,2.756068264,8.817714512,91.18228549,20.423,3.925,0.801301075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ARNO01,15.38449535,13.7,7.668081841,26,8.479976415,32.551,23.898325,7.429313137,8.335078534,0,0.75,1401.587439,23.62041498,29.045885,8.893726488,NA,14.38975019,9.096946666,1.456188802,98.5438112,32.551,7.3,0.898673431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ARNO02,14.02382896,12.4875,6.761205357,29,7.625289961,31.312,22.0477,7.442861754,8.023062161,0,0.769698767,771.086676,17.97318013,20.95750326,7.283120943,NA,12.84150086,7.345683515,2.130538587,97.86946142,31.312,6.4,0.940259608,1.292109847,1.537957249,2.224432334,5.656854249,2.448322086,2.431033114,1.598768432,0.054736388,0.003075112,0,0.021015294,230.1006389,2.294267087,3.522129657,1.100683291,2.828427125,0.508114806,1.160131444,0.779731946,0.779731944,2.431033114,1.449568901,0.037843232
6,ARNO03,5.077847747,4.15,2.216946553,13,2.584085912,25.162,8.7816,7.681397147,8.169411765,0,0.772115385,118.1947873,4.985457551,9.661262875,5.700378574,NA,4.570564288,3.120733625,0.72611465,99.27388535,25.162,4.2,0.791588017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ARNO04,4.688413139,4.5,2.027690541,18,3.619392214,21.51,8.9867,7.606980923,8.046376812,0,0.779347826,193.2324994,5.771577053,12.64600323,4.795149628,NA,3.714298495,2.348579655,1.196937031,98.80306297,21.51,5.175,0.725052524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ARNO05,5.98392462,5.325,3.565461028,19,4.03327946,24.386,10.73496,7.472010895,8.249532001,0,0.783445513,97.80785112,5.363269187,8.060303176,5.761428671,NA,5.324717296,3.982775765,1.57998225,98.42001775,24.386,4.87,0.844012148,0.239967978,0.106066017,1.063184605,0,0.450348299,1.260064284,0.036967543,0.077922051,0.184030219,0,0.02667515,50.86806991,0.525230033,2.805984396,0.535221915,2.828427125,0.073790852,0.854131048,0.294928521,0.294928525,1.260064284,0.664680374,0.048278107
9,ARNO06,4.382839999,3.35,1.843000569,11,2.197157254,28.29,11.749975,7.50826288,9,0,0.794827586,114.0840166,6.151896288,8.731448256,5.957202973,NA,3.839522484,3.040718734,1.075745112,98.92425489,28.29,7.325,0.705117317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ARNO11,6.389062229,5.133333333,3.016121494,21,4.295216978,26.464,15.5256,7.875631317,8.150943396,0,0.759259259,498.7254817,14.68916474,16.82123423,7.889086821,NA,5.780738792,4.845087532,0.283345577,99.71665442,26.464,6.533333333,0.880163038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ARNO12,9.576226448,7.745,6.230452335,22.5,6.646590668,28.058,17.700665,7.626991947,8.108538274,0,0.771154762,844.943586,17.409715,22.88079161,8.142884943,NA,8.709752605,7.24516061,0.934242497,99.06575751,28.058,6.62,0.940919932,0.275615162,0.431335137,0.150371769,0.707106781,0.639972644,1.572605481,0.729896833,0.107237427,0.107876505,0,0.002138157,345.8960351,3.111459017,5.191184157,0.2683444,2.828427125,0.292357693,0.094169827,0.16258019,0.16258019,1.572605481,0.735391052,0.009582278
